"state","year","electricity_price","carbon_emissions","customers","retail_sales","total_electricity"
"Alabama",2020,5.91,NA,2694063.66666667,83449.21816,135870.90175
"Alabama",2019,5.95,NA,2626467.25,88095.11201,142679.43284
"Alabama",2018,6.01,NA,2607908.83333333,90280.45601,145057.99386
"Alabama",2017,6.16,50.987891,2591620.83333333,86241.73002,139964.25012
"Alabama",2016,6.04,55.619153,2574850.83333333,88225.14099,142385.09821
"Alabama",2015,6.03,62.391808,2552738.83333333,88845.54301,152477.42671
"Alabama",2014,6.15,65.591036,2537921.58333333,90493.72702,149340.44709
"Alabama",2013,5.95,64.747869,2524633.25,87852.10702,150572.92386
"Alabama",2012,6.22,66.974549,2515539.83333333,86182.54801,152878.68769
"Alabama",2011,6.25,74.598361,2505191.75,88995.369,156339.20983
"Alabama",2010,6.01,77.414484,2502108.83333333,90862.64502,152150.51206
"Alabama",2009,5.96,66.997271,2491143.25,82844.60198,143255.55561
"Alabama",2008,6.11,81.848255,2491147.08333333,89707.27903,145869.89518
"Alabama",2007,5.27,86.764431,NA,91828.46399,143826.27083
"Alabama",2006,4.9,84.464513,NA,90677.69499,140895.4413
"Alabama",2005,4.52,82.321245,NA,89201.61999,137948.58103
"Alabama",2004,4.15,78.565576,NA,86870.519,137354.77084
"Alabama",2003,3.98,79.111612,NA,83844.22002,137487.222
"Alabama",2002,3.82,78.213969,NA,83067.07798,132920.67
"Alabama",2001,3.79,74.573398,NA,79358.25799,125345.113
"Alaska",2020,16.49,NA,349644.916666667,5925.82893,5924.4281
"Alaska",2019,16.94,NA,345494.75,5818.80504,6070.84313
"Alaska",2018,17.1,NA,342864.166666667,5972.46697,6247.3585
"Alaska",2017,16.34,2.418335,340541.916666667,6185.799,6497.4656
"Alaska",2016,15.22,2.759453,337406.25,6123.20203,6335.03351
"Alaska",2015,14.53,2.95813,334221.666666667,6159.204,6284.9373
"Alaska",2014,15.66,2.914937,333729.75,6164.81201,6042.82963
"Alaska",2013,15.83,2.64714,327759.916666667,6268.21201,6496.82164
"Alaska",2012,16.82,3.139714,325454.666666667,6416.41098,6946.41882
"Alaska",2011,15.71,3.172442,323601.666666667,6319.53996,6871.03279
"Alaska",2010,14.14,3.047657,321149.666666667,6247.03804,6759.5757
"Alaska",2009,13.15,3.161068,318458.75,6270.17098,6702.15939
"Alaska",2008,14.17,3.267934,317244.166666667,6325.94399,6774.83438
"Alaska",2007,12.63,3.282579,NA,6326.61,6821.39162
"Alaska",2006,11.54,3.494779,NA,6182.291,6674.19677
"Alaska",2005,9.29,3.252222,NA,5912.571,6576.65854
"Alaska",2004,8.33,3.186784,NA,5788.484,6526.71686
"Alaska",2003,7.86,3.004138,NA,5563.682,6338.732
"Alaska",2002,7.65,3.2982,NA,5465.48899,6767.325
"Alaska",2001,7.61,3.28067,NA,5454.08001,6743.766
"Arizona",2020,6.13,NA,3230995,81521.12141,109628.83443
"Arizona",2019,6.28,NA,3187273.66666667,77929.17002,113551.98708
"Arizona",2018,6.55,NA,3138275,78346.30198,111925.14408
"Arizona",2017,6.45,43.791048,3093045.41666667,77646.26201,105851.76503
"Arizona",2016,6.07,44.621327,3051838.33333333,78237.82802,108763.4493
"Arizona",2015,6.26,50.05431,3011738.66666667,77349.41596,113142.0477
"Arizona",2014,6.46,53.557215,2981619.75,76297.68498,112257.18746
"Arizona",2013,6.66,55.190212,2947069.75,75662.03703,113325.98612
"Arizona",2012,6.53,51.770364,2898623.83333333,75063.34301,110904.99359
"Arizona",2011,6.55,52.770652,2888134.08333333,74943.64501,108125.35689
"Arizona",2010,6.63,54.853842,2861857.16666667,72833.03001,111750.95746
"Arizona",2009,6.65,52.887479,2851113.91666667,73432.92902,111971.25025
"Arizona",2008,6.57,58.089635,2834064.33333333,76267.91602,119459.17238
"Arizona",2007,6.05,55.644664,NA,77193.20601,113340.97027
"Arizona",2006,5.69,53.178997,NA,73252.77599,104392.52828
"Arizona",2005,5.85,51.314159,NA,69390.686,101478.65433
"Arizona",2004,5.35,52.200252,NA,66933.251,104564.14305
"Arizona",2003,5.37,46.574368,NA,64079.56,94396.218
"Arizona",2002,5.2,45.389926,NA,62600.73702,94131.666
"Arizona",2001,5.24,46.319063,NA,62274.304,89911.272
"Arkansas",2020,5.69,NA,1659777.41666667,45784.75208,52940.51288
"Arkansas",2019,6.13,NA,1630594.66666667,48093.032,64442.89845
"Arkansas",2018,5.64,NA,1621440.66666667,49602.70799,67999.35152
"Arkansas",2017,6.07,32.02454,1607632.91666667,46085.95101,60775.2163
"Arkansas",2016,6.08,30.485117,1595478.16666667,46188.43801,60445.05937
"Arkansas",2015,6.23,27.26845,1580231.16666667,46465.15401,55559.42755
"Arkansas",2014,6.02,35.832554,1566533.25,47080.301,61592.13666
"Arkansas",2013,6.04,35.876564,1557321.16666667,46683.03401,60322.49214
"Arkansas",2012,5.76,34.868833,1547901.83333333,46859.567,65005.67798
"Arkansas",2011,5.63,34.541743,1541337.5,47927.82902,61307.53589
"Arkansas",2010,5.44,32.618183,1534202.25,48194.28501,61000.18454
"Arkansas",2009,5.76,29.107607,1524432.25,43173.104,57457.73903
"Arkansas",2008,5.89,29.281034,1516551,46134.68103,55050.52783
"Arkansas",2007,5.25,28.852893,NA,47054.89099,54596.23556
"Arkansas",2006,5.24,27.666408,NA,46635.62399,52168.70298
"Arkansas",2005,4.74,25.576923,NA,46164.923,47794.50885
"Arkansas",2004,4.16,27.475817,NA,43672.35997,51927.63221
"Arkansas",2003,4.04,26.603058,NA,43108.25902,50401.101
"Arkansas",2002,4.01,25.791198,NA,42449.55799,47611.645
"Arkansas",2001,4.43,27.215022,NA,41732.44901,47192.035
"California",2020,14.42,NA,15705778.5833333,247751.59343,194110.26292
"California",2019,13.4,NA,15573394.1666667,250378.71001,201784.2043
"California",2018,13.2,NA,15454674.9166667,255224.27196,195465.63818
"California",2017,12.73,32.960605,15392132.25,257267.93701,206146.5199
"California",2016,11.92,36.571928,15286017.75,256846.63497,196963.21538
"California",2015,12.17,44.264208,15214446.6666667,261170.43698,196703.85766
"California",2014,12.34,46.283007,15079223.75,262584.78604,198807.62178
"California",2013,11.44,45.714259,15107542.5,261332.45899,200077.11462
"California",2012,10.49,48.016288,15010476.4166667,259538.03803,199518.56657
"California",2011,10.11,36.419359,14894334.1666667,261941.70002,200804.84248
"California",2010,9.8,43.451604,14837716.8333333,258530.89202,204125.59554
"California",2009,10.42,47.863884,14789505.4166667,259583.67599,204776.13225
"California",2008,10.09,50.938539,14826790.1666667,268155.21899,207984.26283
"California",2007,9.98,50.038202,NA,264234.91098,210847.58088
"California",2006,10.09,46.488715,NA,262958.52801,216798.68818
"California",2005,9.55,41.973995,NA,254249.50699,200292.81808
"California",2004,9.27,46.368641,NA,252025.97301,194780.355
"California",2003,9.59,42.723243,NA,243221.31601,192788.542
"California",2002,9.81,43.748631,NA,235213.33199,184210.031
"California",2001,9.23,57.840045,NA,247758.77798,198596.075
"Colorado",2020,7.25,NA,2787865.08333333,56374.78629,54199.48918
"Colorado",2019,7.4,NA,2765155.75,56520.823,56337.73443
"Colorado",2018,7.47,NA,2719057.33333333,56450.48002,55386.27857
"Colorado",2017,7.5,35.165427,2675272.33333333,54830.186,53844.00156
"Colorado",2016,7.35,35.653208,2643311,54802.03701,54418.48
"Colorado",2015,7.4,36.99045,2607513.75,54116.04599,52393.07748
"Colorado",2014,7.47,38.08166,2572988.16666667,53396.52104,53847.38591
"Colorado",2013,7.34,38.990372,2544333,53441.64901,52937.43591
"Colorado",2012,6.95,39.518929,2514400.91666667,53685.29703,52556.7011
"Colorado",2011,7.06,39.306319,2506104.41666667,53458.28503,51432.55429
"Colorado",2010,6.9,40.322372,2493632.08333333,52917.78601,50720.79178
"Colorado",2009,6.39,38.855095,2475805.83333333,51035.906,50565.95155
"Colorado",2008,6.65,41.506468,2546525.58333333,52142.47302,53441.59356
"Colorado",2007,5.97,43.415745,NA,51299.15598,53907.49213
"Colorado",2006,5.88,42.044686,NA,49733.69801,50698.35285
"Colorado",2005,5.74,41.148798,NA,48353.23601,49616.69434
"Colorado",2004,5.11,40.840851,NA,46723.84101,47869.49241
"Colorado",2003,5.1,40.790782,NA,46494.64498,46616.787
"Colorado",2002,4.52,40.60328,NA,45936.69602,45600.388
"Colorado",2001,4.48,41.785322,NA,44236.03801,46876.002
"Connecticut",2020,13.3,NA,1681756.41666667,27013.48345,41164.61434
"Connecticut",2019,13.44,NA,1667151.58333333,27899.99602,40050.03793
"Connecticut",2018,13.77,NA,1661836.66666667,28833.92499,39453.5515
"Connecticut",2017,13.1,6.250265,1652869,28135.52999,34562.6539
"Connecticut",2016,12.81,6.988908,1643333.08333333,28931.08701,36496.55991
"Connecticut",2015,12.95,7.448328,1625899.33333333,29476.15502,37470.62225
"Connecticut",2014,12.92,6.709873,1619264,29354.46001,33676.98041
"Connecticut",2013,12.61,6.791765,1609953.08333333,29824.51602,35610.78932
"Connecticut",2012,12.67,7.227959,1609734.25,29492.33802,36117.54387
"Connecticut",2011,13.24,6.583908,1608709.25,29858.99301,33745.22061
"Connecticut",2010,14.51,7.71259,1610628.25,30391.76599,33349.62331
"Connecticut",2009,14.99,6.577872,1600305.33333333,29715.764,31206.22203
"Connecticut",2008,14.93,7.974152,1612646.25,30956.544,30409.47264
"Connecticut",2007,12.92,8.875751,NA,34129.10701,33171.20923
"Connecticut",2006,11.71,9.528937,NA,31677.453,34681.73618
"Connecticut",2005,9.4,10.016726,NA,33095.02901,33549.74678
"Connecticut",2004,7.89,8.724406,NA,32214.61001,32633.40771
"Connecticut",2003,7.99,7.944165,NA,31830.218,29545.05
"Connecticut",2002,7.68,8.681446,NA,31005.489,31311.219
"Connecticut",2001,7.62,9.667725,NA,30540.758,30490.646
"Delaware",2020,6.94,NA,499169,10894.67543,5018.14482
"Delaware",2019,7.7,NA,495835.583333333,11469.42198,5258.53801
"Delaware",2018,7.95,NA,488190.666666667,11773.09999,6240.6439
"Delaware",2017,7.78,2.940104,481029,11128.60301,7495.97627
"Delaware",2016,8.11,3.590997,473473.416666667,11258.43802,8731.26055
"Delaware",2015,8.28,3.261824,467088.833333333,11498.205,7810.00556
"Delaware",2014,8.58,3.62854,460572.166666667,11338.47699,7703.58352
"Delaware",2013,8.43,4.07459,456040.083333333,11347.856,7760.861
"Delaware",2012,8.36,4.580924,451908.25,11519.33103,8633.694
"Delaware",2011,8.91,3.846989,449714.75,11483.29598,6590.1948
"Delaware",2010,9.57,4.254647,447339.166666667,11605.93201,5627.645
"Delaware",2009,9.51,3.869188,444133.416666667,11257.77799,4841.56286
"Delaware",2008,10.49,6.302333,441394.166666667,11748.783,7523.83862
"Delaware",2007,8.93,6.733001,NA,11868.81001,8534.16326
"Delaware",2006,7.67,5.764136,NA,11554.672,7182.17937
"Delaware",2005,6.21,6.470753,NA,12136.78801,8136.56808
"Delaware",2004,6.06,6.05302,NA,11761.15299,7855.55258
"Delaware",2003,5.15,5.945285,NA,12599.59001,7392.287
"Delaware",2002,4.85,5.171114,NA,12018.734,6002.489
"Delaware",2001,4.81,5.221606,NA,11378.62599,6807.684
"Florida",2020,7.22,NA,10952344.5,237607.29573,249657.65084
"Florida",2019,7.65,NA,10830325.6666667,240347.95505,245603.4849
"Florida",2018,7.65,NA,10673904.8333333,238565.39101,244252.03517
"Florida",2017,7.83,103.152147,10529932.25,233154.54901,238413.43667
"Florida",2016,7.69,106.350704,10370271.5,235721.82202,238262.14982
"Florida",2015,8.22,108.113621,10166666.8333333,235599.39799,237412.63315
"Florida",2014,7.9,109.767841,10090564.1666667,226078.111,230015.9373
"Florida",2013,7.61,105.153099,9950076.58333333,221919.51399,222398.92398
"Florida",2012,8.04,107.498334,9823193.58333333,220674.33303,221096.13597
"Florida",2011,8.55,110.960807,9732883.16666667,225090.42199,221894.57408
"Florida",2010,8.85,120.117278,9674410.75,231209.61398,229095.93479
"Florida",2009,9.32,111.071425,9639206.41666667,224750.322,217952.30839
"Florida",2008,8.25,117.803502,9629908.58333333,226172.795,219636.81819
"Florida",2007,7.76,125.287318,NA,231084.60001,225416.06022
"Florida",2006,7.71,124.061917,NA,228219.54399,223751.62103
"Florida",2005,6.46,127.699878,NA,224977.011,220256.41181
"Florida",2004,5.84,127.255246,NA,218584.494,218117.92785
"Florida",2003,5.41,126.918679,NA,217378.62198,212610.011
"Florida",2002,5.23,121.972345,NA,210473.53002,203352.775
"Florida",2001,5.18,119.565158,NA,200752.13301,190945.344
"Georgia",2020,5.52,NA,5150323,133241.22291,119279.20059
"Georgia",2019,6.17,NA,5020633.25,139300.98999,128691.56939
"Georgia",2018,6,NA,4956553.58333333,139866.07398,129239.37127
"Georgia",2017,5.96,52.343337,4892944.33333333,133456.62002,127455.31405
"Georgia",2016,5.84,57.913026,4829626.08333333,138112.23899,133380.41567
"Georgia",2015,5.87,56.085521,4772842.58333333,135878.21498,128817.89761
"Georgia",2014,6.64,59.982312,4710054.66666667,135789.93199,125837.22353
"Georgia",2013,6.27,54.049121,4674670.5,130497.47001,120953.7343
"Georgia",2012,5.98,56.155073,4636419.58333333,130978.87203,122306.36385
"Georgia",2011,6.6,68.497476,4621058.08333333,136371.149,124749.34116
"Georgia",2010,6.22,79.890271,4615783.91666667,140671.57998,137576.94126
"Georgia",2009,6.12,74.453004,4623206,130765.50498,128698.37644
"Georgia",2008,6.67,86.469515,4594197,135173.51401,136173.39534
"Georgia",2007,5.53,92.360067,NA,137453.878,145155.15835
"Georgia",2006,5.38,86.699094,NA,134834.16799,138010.20785
"Georgia",2005,5.28,86.140415,NA,132265.45199,136667.89195
"Georgia",2004,4.43,78.196835,NA,129465.78401,126812.71475
"Georgia",2003,4.02,76.075184,NA,123676.65699,124076.834
"Georgia",2002,3.95,75.873669,NA,123789.07801,126512.215
"Georgia",2001,4.28,70.864564,NA,117790.47301,118316.789
"Hawaii",2020,24.46,NA,501070.083333333,8713.09016,9324.46109
"Hawaii",2019,25.76,NA,499053.583333333,9452.88702,9749.99808
"Hawaii",2018,26.1,NA,496741.166666667,9337.16099,9796.7729
"Hawaii",2017,22.92,5.586477,494970.583333333,9324.201,9812.96803
"Hawaii",2016,20.69,6.594561,492578,9445.38899,9948.84505
"Hawaii",2015,23.06,6.617824,489709.916666667,9511.35201,10119.50026
"Hawaii",2014,30.22,6.726252,486562.916666667,9475.45201,10204.15825
"Hawaii",2013,29.87,6.774999,483546.833333333,9503.16401,10267.05227
"Hawaii",2012,30.82,7.098878,480425.583333333,9639.15701,10469.26867
"Hawaii",2011,28.4,7.447544,478273.583333333,9961.65301,10723.33291
"Hawaii",2010,21.94,7.583196,475732.083333333,10016.50902,10836.03597
"Hawaii",2009,18.14,7.691787,474400.333333333,10126.185,11010.53289
"Hawaii",2008,26.05,7.891631,472024.5,10390.27901,11376.38508
"Hawaii",2007,18.38,8.101152,NA,10585.299,11533.34958
"Hawaii",2006,17.96,8.119086,NA,10567.912,11559.17366
"Hawaii",2005,15.79,8.143953,NA,10538.91001,11522.80535
"Hawaii",2004,13.35,8.209691,NA,10731.52002,11410.40259
"Hawaii",2003,12.2,7.923375,NA,10390.83599,10976.371
"Hawaii",2002,11.02,8.599613,NA,9891.63799,11663.07
"Hawaii",2001,11.68,8.023665,NA,9784.56301,10633.093
"Idaho",2020,6.25,NA,923777.916666667,24247.18896,19334.8863
"Idaho",2019,6.08,NA,904469.75,23985.27499,18407.81198
"Idaho",2018,6.47,NA,882773.666666667,23753.508,18172.11967
"Idaho",2017,6.66,1.132441,864670.5,23793.78998,17396.02356
"Idaho",2016,6.55,1.253994,849763,23062.961,15660.93838
"Idaho",2015,6.6,1.489619,835430.583333333,23058.81399,15667.09473
"Idaho",2014,6.4,0.987935,821865.5,23233.28402,15184.4165
"Idaho",2013,6.09,1.33344,811174.083333333,24208.05601,15186.12821
"Idaho",2012,5.48,0.730113,802206.75,23711.85901,15499.08931
"Idaho",2011,5.1,0.445252,794924,23271.72399,16568.7859
"Idaho",2010,5.15,0.667685,792031,22797.66804,12024.5641
"Idaho",2009,5.17,0.676685,786553.833333333,22753.77901,13100.15185
"Idaho",2008,4.48,0.675538,779759.416666667,23901.49001,11970.55293
"Idaho",2007,3.87,0.679994,NA,23755.186,11484.09063
"Idaho",2006,3.61,0.523763,NA,22761.749,13386.08525
"Idaho",2005,3.91,0.619012,NA,21852.68101,10824.98385
"Idaho",2004,3.82,0.648956,NA,21808.67401,10863.03871
"Idaho",2003,4.16,0.510372,NA,21218.685,10422.935
"Idaho",2002,4.34,0.14131,NA,20699.666,9786.933
"Idaho",2001,3.71,0.574877,NA,21096.017,9346.941
"Illinois",2020,6.44,NA,6002889.58333333,131779.27979,173552.06393
"Illinois",2019,6.52,NA,5943064.83333333,138319.481,184470.05179
"Illinois",2018,6.8,NA,5911486.91666667,142654.80803,188003.35675
"Illinois",2017,6.47,65.086553,5881695.83333333,137196.31002,183591.57075
"Illinois",2016,6.51,67.156755,5844547.58333333,141050.40899,187289.13096
"Illinois",2015,6.67,77.322807,5781840.16666667,138619.97001,193952.04003
"Illinois",2014,6.85,88.853526,5751364.75,141540.28702,202143.87798
"Illinois",2013,5.94,90.03282,5723778.75,141804.88802,203004.91948
"Illinois",2012,5.8,86.309461,5694825.91666667,143540.004,197565.36162
"Illinois",2011,6.42,92.257592,5682631.58333333,142885.56705,199499.72804
"Illinois",2010,6.82,95.129714,5654797.75,144760.67401,201351.87163
"Illinois",2009,7.01,91.405918,5656554.75,136688.466,193864.35727
"Illinois",2008,7.34,97.810744,5691210.33333333,144619.914,199475.17757
"Illinois",2007,6.61,97.898042,NA,146055.151,200260.6812
"Illinois",2006,4.69,92.880319,NA,142447.811,192426.95805
"Illinois",2005,4.61,94.525783,NA,144986.21498,194120.14583
"Illinois",2004,4.65,95.261592,NA,139253.956,191957.77849
"Illinois",2003,4.86,89.474024,NA,136247.891,189055.26
"Illinois",2002,4.89,89.250186,NA,138447.313,188054.449
"Illinois",2001,4.65,86.658787,NA,136033.54903,179249.285
"Indiana",2020,6.74,NA,3304081.66666667,93347.68852,89853.26395
"Indiana",2019,7.36,NA,3264625.08333333,102104.20305,102505.38095
"Indiana",2018,7.38,NA,3235835.33333333,104194.376,113459.71091
"Indiana",2017,7.54,80.866012,3204014.41666667,98965.96799,98929.81848
"Indiana",2016,6.97,84.531158,3190274.25,103704.82099,101759.05895
"Indiana",2015,6.86,88.248079,3173538.66666667,104514.51797,104019.27476
"Indiana",2014,6.97,104.442131,3151457.83333333,106942.50407,115395.39178
"Indiana",2013,6.7,99.514548,3136349.66666667,105487.38897,110403.47711
"Indiana",2012,6.34,99.843311,3118565.25,105173.42503,114695.72927
"Indiana",2011,6.17,109.850196,3106400,105818.13899,122131.41396
"Indiana",2010,5.87,115.558861,3103293.75,105994.37598,125180.73889
"Indiana",2009,5.81,110.295568,3093305.25,99311.81303,116670.27986
"Indiana",2008,5.46,123.913403,3092377.66666667,106980.70404,129510.29398
"Indiana",2007,4.89,123.566451,NA,109420.14999,130637.9985
"Indiana",2006,4.95,123.505018,NA,105664.484,130489.78766
"Indiana",2005,4.42,123.812754,NA,106548.91001,130371.57252
"Indiana",2004,4.13,120.739626,NA,103094.263,127770.39577
"Indiana",2003,3.92,118.153762,NA,100467.77899,124888.217
"Indiana",2002,3.95,116.164891,NA,101428.54999,125608.14
"Indiana",2001,4.11,116.652965,NA,97733.96801,122569.673
"Iowa",2020,6.55,NA,1681091.33333333,49804.8207,59376.12945
"Iowa",2019,6.6,NA,1643274,51043.14802,62649.56287
"Iowa",2018,6.45,NA,1633335.41666667,51210.655,63380.56876
"Iowa",2017,6.21,25.809901,1621279,48921.99695,57909.56614
"Iowa",2016,6.05,25.084296,1602446,48431.19301,54392.5065
"Iowa",2015,5.9,28.823374,1591781,47147.29286,56658.91846
"Iowa",2014,5.71,32.892433,1580196.58333333,47201.85298,56853.28247
"Iowa",2013,5.62,32.568143,1572245.16666667,46705.21594,56670.75692
"Iowa",2012,5.3,34.817861,1562980.16666667,45709.09996,56675.40557
"Iowa",2011,5.21,37.65581,1556498.16666667,45654.87701,56371.91265
"Iowa",2010,5.36,41.105479,1552150.16666667,45445.26903,57508.72079
"Iowa",2009,5.27,37.477642,1546777.16666667,43641.195,51860.06313
"Iowa",2008,4.81,41.400509,1543421.83333333,45488.07,53086.78637
"Iowa",2007,4.74,39.62034,NA,45269.52298,49789.21697
"Iowa",2006,4.92,36.343372,NA,43336.835,45483.46238
"Iowa",2005,4.56,36.12367,NA,42756.80799,44156.15992
"Iowa",2004,4.33,36.903547,NA,40902.77298,43248.189
"Iowa",2003,4.16,36.420381,NA,41207.284,42116.192
"Iowa",2002,4.06,36.204578,NA,40897.54298,42528.384
"Iowa",2001,4.18,36.457361,NA,39443.755,40658.512
"Kansas",2020,7.13,NA,1563366.58333333,38425.2788,54342.8996
"Kansas",2019,7.35,NA,1534421,41159.62799,50887.99173
"Kansas",2018,7.6,NA,1524319.25,42036.97905,51710.21324
"Kansas",2017,7.54,21.599711,1515616.5,40287.78699,50933.29634
"Kansas",2016,7.49,25.110094,1509490.08333333,40810.174,47599.99057
"Kansas",2015,7.61,26.708635,1484385.83333333,39849.12703,45527.12366
"Kansas",2014,7.8,31.004655,1481668.16666667,40561.606,49728.36311
"Kansas",2013,7.39,32.327345,1473880.25,39847.39708,48472.5813
"Kansas",2012,7.09,30.982584,1466080.41666667,40293.47599,44424.69077
"Kansas",2011,6.71,34.582182,1461236.25,40760.39897,45359.84012
"Kansas",2010,6.23,35.787389,1456408.33333333,40420.675,47923.76218
"Kansas",2009,6.1,35.692054,1451190.33333333,38243.34399,46677.30755
"Kansas",2008,5.69,36.757247,1511936.41666667,39965.06108,46630.32137
"Kansas",2007,5.13,38.94438,NA,40165.97699,50122.19572
"Kansas",2006,5.2,35.494527,NA,39751.30199,45523.73631
"Kansas",2005,4.85,37.52162,NA,39024.28299,45862.69587
"Kansas",2004,4.69,37.758281,NA,37126.54001,46782.6588
"Kansas",2003,4.61,38.480768,NA,36735.39,46567.56
"Kansas",2002,4.53,38.59108,NA,36713.54001,47188.446
"Kansas",2001,4.55,35.25341,NA,35846.95101,44748.523
"Kentucky",2020,5.15,NA,2360027.66666667,70318.89227,63424.3181
"Kentucky",2019,5.57,NA,2307114.08333333,75345.38199,71804.2538
"Kentucky",2018,5.68,NA,2292365.66666667,76610.63598,78804.49656
"Kentucky",2017,5.72,63.916601,2282464.66666667,72634.38697,73179.1957
"Kentucky",2016,5.67,73.375515,2266533.75,74553.575,80273.50107
"Kentucky",2015,5.48,77.516268,2253920.08333333,76038.62997,83543.67059
"Kentucky",2014,5.68,87.40651,2244043.33333333,78838.92399,90896.43507
"Kentucky",2013,5.66,87.029851,2239533.08333333,84763.84199,89741.02122
"Kentucky",2012,5.35,87.405742,2229987.91666667,89048.49001,89949.6887
"Kentucky",2011,5.33,94.57521,2230401.91666667,89538.34102,98350.98218
"Kentucky",2010,5.05,95.115505,2234977.58333333,93569.42597,98217.65818
"Kentucky",2009,4.92,88.008214,2226166.16666667,88896.75702,90630.42662
"Kentucky",2008,4.82,96.071844,2230452.75,93428.414,97863.34027
"Kentucky",2007,4.47,95.352128,NA,92404.1,97225.31941
"Kentucky",2006,4.05,96.102603,NA,88743.43502,98792.01419
"Kentucky",2005,3.6,93.305525,NA,89351.466,97822.41914
"Kentucky",2004,3.34,90.135904,NA,86521.15599,94529.94718
